(657, 272, 56, 25)
(656, 273, 59, 24)
(656, 273, 58, 24)
(656, 273, 59, 25)
(652, 273, 63, 25)
(652, 272, 65, 24)
(652, 274, 65, 22)
(651, 273, 66, 23)
(651, 273, 66, 22)
(649, 274, 69, 22)
(649, 273, 69, 23)
(650, 272, 68, 24)
(649, 272, 71, 24)
(647, 270, 74, 25)
(645, 271, 76, 24)
(646, 270, 77, 26)
(645, 269, 78, 27)
(645, 269, 80, 26)
(643, 269, 81, 27)
(643, 268, 83, 29)
(641, 269, 85, 28)
(641, 268, 87, 29)
(642, 269, 86, 28)
(639, 269, 91, 29)
(638, 268, 93, 29)
(638, 267, 95, 31)
(636, 267, 98, 31)
(635, 265, 102, 34)
(635, 265, 102, 34)
(632, 265, 107, 33)
(632, 263, 109, 36)
(632, 264, 111, 36)
(628, 264, 117, 36)
(625, 262, 123, 39)
(624, 262, 126, 40)
(623, 263, 130, 38)
(622, 259, 135, 45)
(619, 257, 140, 47)
(612, 257, 150, 49)
(609, 256, 156, 50)
(607, 254, 162, 51)
(602, 251, 172, 58)
(603, 252, 175, 57)
(597, 251, 186, 60)
(590, 249, 197, 64)
(587, 246, 209, 69)
(579, 245, 223, 73)
(571, 242, 238, 79)
(563, 241, 256, 82)
(553, 238, 277, 91)
(542, 235, 303, 98)
(529, 231, 333, 108)
(510, 226, 374, 120)
(490, 221, 421, 135)
(462, 214, 486, 155)
(420, 204, 584, 183)
(363, 187, 715, 225)
(264, 166, 950, 282)
(97, 117, 1183, 397)
(5, 0, 1275, 694)
(0, 0, 1280, 720)
